id,name,age,diet,species
1,Simba,5,carnivore,Lion
2,Ellie,10,herbivore,Elephant
3,Raja,3,carnivore,Tiger
4,Stretch,7,herbivore,Giraffe
5,George,2,herbivore,Monkey
6,Shadow,4,carnivore,Wolf
7,Baloo,6,omnivore,Bear
8,Bambi,8,herbivore,Deer
9,Rusty,3,omnivore,Fox
10,Flopsy,1,herbivore,Rabbit
11,Freedom,9,carnivore,Eagle
12,Slinky,4,carnivore,Snake
13,Tux,2,carnivore,Penguin
14,Bubbles,12,herbivore,Hippopotamus
15,Speedy,5,carnivore,Cheetah
16,Stripes,6,herbivore,Zebra
17,Kong,11,herbivore,Gorilla
18,Snapper,7,carnivore,Crocodile
19,Hoot,3,carnivore,Owl
20,Nutsy,2,herbivore,Squirrel
21,Snowy,8,carnivore,Polar Bear
22,Hopper,9,herbivore,Kangaroo
23,Flipper,4,carnivore,Dolphin
24,Tank,10,herbivore,Rhinoceros